simplified,zipf,pinyin,meaning_cedict,in_cedict
这是,5.62,,,no
最大,5.48,,,no
这次,5.32,,,no
一位,5.28,,,no
一年,5.18,,,no
一条,5.18,,,no
一名,5.15,,,no
一场,5.13,,,no
我要,5.03,,,no
是因为,5.03,,,no
一张,5.02,,,no
很大,4.99,,,no
很快,4.99,,,no
我会,4.99,,,no
看着,4.98,,,no
更好,4.96,,,no
一件,4.95,,,no
万元,4.95,,,no
亿元,4.95,,,no
第一个,4.94,,,no
这件,4.93,,,no
武汉,4.92,Wu3 han4,see 武漢市|武汉市[Wu3 han4 Shi4],yes
中华人民共和国,4.91,Zhong1 hua2 Ren2 min2 Gong4 he2 guo2,People's Republic of China,yes
一项,4.90,,,no
一步,4.89,,,no
放在,4.89,,,no
三年,4.88,,,no
有个,4.87,,,no
一份,4.86,,,no
一部,4.86,,,no
任何人,4.86,,,no
来看,4.86,,,no
像是,4.85,,,no
第三,4.83,,,no
一只,4.82,,,no
一群,4.82,,,no
十年,4.81,,,no
两种,4.80,,,no
所有人,4.80,suo3 you3 ren2,everyone; owner,yes
这一,4.79,,,no
一座,4.78,,,no
党员,4.78,dang3 yuan2,party member,yes
亿美元,4.76,,,no
坐在,4.75,,,no
一片,4.74,,,no
两位,4.74,,,no
这场,4.74,,,no
两人,4.73,,,no
五年,4.72,,,no
其他人,4.71,,,no
看过,4.71,,,no
手中,4.70,,,no
是从,4.70,,,no
一个月,4.68,,,no
只会,4.68,,,no
各项,4.68,,,no
最低,4.68,,,no
一颗,4.67,,,no
两天,4.67,,,no
广西,4.67,Guang3 xi1,see 廣西壯族自治區|广西壮族自治区[Guang3 xi1 Zhuang4 zu2 Zi4 zhi4 qu1],yes
生于,4.66,,,no
第四,4.66,,,no
对此,4.65,,,no
某个,4.65,,,no
瞭解,4.65,,,no
该国,4.65,,,no
福建,4.63,Fu2 jian4,see 福建省[Fu2 jian4 Sheng3],yes
不让,4.62,,,no
所说,4.62,,,no
已有,4.60,,,no
床上,4.60,,,no
想着,4.60,,,no
最早,4.60,,,no
江西,4.60,Jiang1 xi1,see 江西省[Jiang1 xi1 Sheng3],yes
一把,4.59,,,no
万美元,4.59,,,no
五个,4.59,,,no
四年,4.59,,,no
很难,4.59,,,no
还会,4.59,,,no
并未,4.58,bing4 wei4,(used to stress that sth did not turn out as one might have expected) did not actually ...; has not actually ...,yes
想想,4.58,,,no
两名,4.57,,,no
总会,4.57,,,no
试试,4.57,,,no
一人,4.56,,,no
本书,4.56,,,no
一批,4.55,,,no
十大,4.55,,,no
这部,4.55,,,no
一支,4.53,,,no
岛上,4.53,,,no
一辆,4.52,,,no
家中,4.52,,,no
这份,4.52,,,no
一大,4.51,,,no
一间,4.51,,,no
这项,4.51,,,no
我家,4.50,,,no
脸上,4.50,,,no
三天,4.49,,,no
安徽,4.49,An1 hui1,see 安徽省[An1 hui1 Sheng3],yes
辽宁,4.48,Liao2 ning2,see 遼寧省|辽宁省[Liao2 ning2 Sheng3],yes
这点,4.48,,,no
人会,4.45,,,no
央视,4.45,Yang1 shi4,"China Central Television (CCTV), abbr. for 中國中央電視台|中国中央电视台[Zhong1 guo2 Zhong1 yang1 Dian4 shi4 tai2]",yes
法治,4.45,fa3 zhi4,rule of law; to rule by law,yes
中国政府,4.44,,,no
丹麦,4.44,Dan1 mai4,Denmark,yes
人民政府,4.44,ren2 min2 zheng4 fu3,people's government,yes
部份,4.44,,,no
一日,4.43,,,no
一款,4.43,,,no
新华社,4.43,Xin1 hua2 she4,"Xinhua News Agency, official press agency of the People's Republic of China, founded in 1931",yes
这张,4.43,,,no
常务,4.42,chang2 wu4,routine; everyday business; daily operation (of a company),yes
官方网站,4.41,,,no
就让,4.41,,,no
截图,4.41,jie2 tu2,(computing) screenshot; to take a screenshot,yes
本次,4.41,,,no
二人,4.40,,,no
多人,4.40,,,no
常委,4.40,chang2 wei3,standing committee (abbr. for 常務委員會|常务委员会[chang2 wu4 wei3 yuan2 hui4]); member of the standing committee (abbr. for 常務委員,yes
网易,4.40,Wang3 yi4,NetEase,yes
般的,4.40,,,no
六个,4.39,,,no
官网,4.39,guan1 wang3,official website (abbr. for 官方網站|官方网站[guan1 fang1 wang3 zhan4]),yes
总书记,4.39,zong3 shu1 ji5,general secretary (of the Communist Party),yes
手上,4.39,,,no
新浪,4.39,Xin1 lang4,"Sina, Chinese web portal and online media company",yes
甚么,4.39,,,no
这家,4.39,,,no
人大代表,4.38,,,no
同一个,4.38,,,no
我能,4.38,,,no
一根,4.37,,,no
全省,4.37,quan2 sheng3,the whole province,yes
天安门广场,4.37,Tian1 an1 men2 Guang3 chang3,Tiananmen Square,yes
一台,4.36,,,no
小女孩,4.36,,,no
最长,4.36,,,no
看不到,4.36,,,no
之声,4.35,,,no
他会,4.35,,,no
做爱,4.35,zuo4 ai4,to make love,yes
六年,4.35,,,no
更大,4.35,,,no
红军,4.34,Hong2 jun1,"Red Army (1928-1937), predecessor of the PLA; (Soviet) Red Army (1917-1946)",yes
一处,4.33,,,no
八年,4.33,,,no
头上,4.33,tou2 shang4,overhead; above,yes
市委,4.33,shi4 wei3,municipal committee,yes
这座,4.33,,,no
中有,5.43,,,no
美国政府,4.32,,,no
一分钟,4.31,,,no
万吨,4.31,,,no
影音,4.31,ying3 yin1,(Tw) audio and video; audiovisual,yes
尼亚,4.30,,,no
搜狐,4.30,Sou1 hu2,"Sohu, Chinese web portal and online media company",yes
无论是,4.30,,,no
这才,4.30,,,no
一首,4.29,,,no
三种,4.29,,,no
最强,4.29,,,no
省级,4.29,sheng3 ji2,(administrative) province-level,yes
中方,4.28,Zhong1 fang1,the Chinese side (in an international venture),yes
域名,4.28,yu4 ming2,(computing) domain name,yes
多名,4.28,,,no
完整版,4.28,,,no
总面积,4.28,,,no
日军,4.28,Ri4 jun1,Japanese army; Japanese troops,yes
那位,4.28,,,no
一夜,4.27,,,no
一架,4.27,,,no
中共中央,4.27,Zhong1 Gong4 Zhong1 yang1,"Central Committee of the Communist Party of China, abbr. for 中國共產黨中央委員會|中国共产党中央委员会[Zhong1 guo2 Gong4 chan3 dang3 Zhong1 ",yes
日起,4.27,,,no
水中,4.27,,,no
走上,4.27,,,no
首歌,4.27,,,no
一是,5.22,,,no
中华民国,4.26,Zhong1 hua2 Min2 guo2,Republic of China,yes
五大,4.26,,,no
光绪,4.26,Guang1 xu4,reign name of penultimate Qing emperor Guangxu or Guang-hsu (1875-1908),yes
宁波,4.26,Ning2 bo1,see 寧波市|宁波市[Ning2 bo1 Shi4],yes
会上,4.25,,,no
带到,4.25,,,no
福州,4.25,Fu2 zhou1,see 福州市[Fu2 zhou1 Shi4],yes
七个,4.24,,,no
多家,4.24,,,no
我刚,4.24,,,no
最小,4.24,,,no
朝廷,4.24,chao2 ting2,court; imperial household; dynasty,yes
这块,4.24,,,no
选区,4.24,xuan3 qu1,electoral district; constituency,yes
一股,4.23,,,no
三大,4.23,,,no
不像,4.23,,,no
好消息,4.23,,,no
最快,4.23,,,no
一员,4.22,yi1 yuan2,a member (of an organization),yes
一顿,4.22,,,no
人民法院,4.22,ren2 min2 fa3 yuan4,people's court (of law); people's tribunal,yes
军区,4.22,jun1 qu1,geographical area of command; (PLA) military district,yes
几分钟,4.22,,,no
嫁给,4.22,,,no
找个,4.22,,,no
一所,4.21,,,no
七年,4.21,,,no
东风,4.21,dong1 feng1,easterly wind; spring breeze; (fig.) revolutionary momentum; favorable circumstances,yes
八个,4.21,,,no
小小的,4.21,,,no
斯大林,4.21,Si1 da4 lin2,"Joseph Stalin (1879-1953), Soviet dictator",yes
第一位,4.21,,,no
给出,4.21,,,no
